招生群類別,成績區間,國文,英文,數學,專業一,專業二
13家政群生活應用類,1.01～2,0,0,0,0,0
13家政群生活應用類,0.01～1,0,0,0,0,0
13家政群生活應用類,0,201,203,247,236,260
14農業群,99.01～100,0,1,7,0,0
14農業群,98.01～99,0,1,0,0,0
14農業群,97.01～98,0,3,0,0,0
14農業群,96.01～97,0,10,0,0,0
14農業群,95.01～96,0,1,6,2,1
14農業群,94.01～95,0,7,0,0,0
14農業群,93.01～94,1,5,0,0,2
14農業群,92.01～93,0,15,0,0,0
14農業群,91.01～92,4,3,8,2,1
14農業群,90.01～91,0,15,0,0,0
14農業群,89.01～90,1,12,0,7,2
14農業群,88.01～89,0,5,0,0,0
14農業群,87.01～88,5,4,11,4,1
14農業群,86.01～87,0,13,0,0,0
14農業群,85.01～86,6,15,0,8,8
14農業群,84.01～85,0,7,0,0,0
14農業群,83.01～84,9,7,21,9,7
14農業群,82.01～83,0,11,0,0,0
14農業群,81.01～82,13,8,0,12,11
14農業群,80.01～81,0,10,0,0,0
14農業群,79.01～80,18,16,20,11,22
14農業群,78.01～79,0,6,0,0,0
14農業群,77.01～78,22,12,0,22,19
14農業群,76.01～77,0,5,0,0,0
14農業群,75.01～76,19,6,22,16,32
14農業群,74.01～75,0,7,0,0,0
14農業群,73.01～74,31,11,0,22,37
14農業群,72.01～73,0,18,0,0,0
14農業群,71.01～72,46,17,29,24,35
14農業群,70.01～71,0,16,0,0,0
14農業群,69.01～70,55,17,0,25,33
14農業群,68.01～69,0,5,0,0,0
14農業群,67.01～68,48,19,33,30,46
14農業群,66.01～67,0,9,0,0,0
14農業群,65.01～66,53,15,0,37,50
14農業群,64.01～65,0,9,0,0,0
14農業群,63.01～64,74,17,18,29,45
14農業群,62.01～63,0,9,0,0,0
14農業群,61.01～62,61,17,0,42,50
14農業群,60.01～61,0,7,0,0,0
14農業群,59.01～60,70,8,46,59,54
14農業群,58.01～59,0,8,0,0,0
14農業群,57.01～58,64,18,0,48,61
14農業群,56.01～57,0,11,0,0,0
14農業群,55.01～56,75,22,50,51,52
14農業群,54.01～55,0,13,0,0,0
14農業群,53.01～54,75,16,0,72,70
14農業群,52.01～53,1,14,0,0,0
14農業群,51.01～52,62,21,52,66,70
14農業群,50.01～51,0,12,0,0,0
14農業群,49.01～50,69,14,0,57,86
14農業群,48.01～49,0,11,0,0,0
14農業群,47.01～48,70,22,75,70,73
14農業群,46.01～47,0,12,0,0,0
14農業群,45.01～46,78,20,0,76,82
14農業群,44.01～45,0,17,0,0,0
14農業群,43.01～44,68,23,97,84,79
14農業群,42.01～43,0,12,0,0,0
14農業群,41.01～42,66,24,0,84,79
14農業群,40.01～41,0,12,0,0,0
14農業群,39.01～40,47,25,120,74,57
14農業群,38.01～39,0,10,0,0,0
14農業群,37.01～38,54,19,0,73,69
14農業群,36.01～37,0,16,0,0,0
14農業群,35.01～36,42,28,142,73,59
14農業群,34.01～35,0,14,0,0,0
14農業群,33.01～34,41,36,0,59,46
14農業群,32.01～33,0,19,0,0,0
14農業群,31.01～32,37,39,148,45,51
14農業群,30.01～31,0,19,0,0,0
14農業群,29.01～30,33,41,0,59,30
14農業群,28.01～29,0,19,0,0,0
14農業群,27.01～28,32,65,207,42,29
14農業群,26.01～27,0,19,0,0,0
14農業群,25.01～26,18,68,0,22,19
14農業群,24.01～25,0,24,0,0,0
14農業群,23.01～24,15,67,201,36,12
14農業群,22.01～23,0,16,0,0,0
14農業群,21.01～22,14,81,0,24,9
14農業群,20.01～21,0,14,0,0,0
14農業群,19.01～20,14,60,105,27,12
14農業群,18.01～19,0,11,0,0,0
