招生群類別,成績區間,國文,英文,數學,專業一,專業二
02動力機械群,8.01～9,0,10,0,0,0
02動力機械群,7.01～8,41,117,134,0,2
02動力機械群,6.01～7,0,2,0,0,0
02動力機械群,5.01～6,13,28,0,0,0
02動力機械群,4.01～5,0,0,0,2,0
02動力機械群,3.01～4,6,6,23,0,0
02動力機械群,2.01～3,0,0,0,0,0
02動力機械群,1.01～2,2,1,0,0,0
02動力機械群,0.01～1,0,0,0,0,0
02動力機械群,0.00,14,11,8,1,1
03電機群,99.01～100,1,60,84,27,3
03電機群,98.01～99,0,204,0,0,0
03電機群,97.01～98,0,98,0,68,14
03電機群,96.01～97,0,438,0,0,0
03電機群,95.01～96,6,142,189,121,38
03電機群,94.01～95,0,614,0,0,0
03電機群,93.01～94,17,211,0,123,43
03電機群,92.01～93,0,620,0,0,0
03電機群,91.01～92,49,256,337,135,59
03電機群,90.01～91,0,607,0,0,0
03電機群,89.01～90,67,276,0,140,77
03電機群,88.01～89,0,555,0,0,0
03電機群,87.01～88,158,297,419,144,78
03電機群,86.01～87,0,538,0,0,0
03電機群,85.01～86,267,314,0,157,64
03電機群,84.01～85,1,507,0,0,0
03電機群,83.01～84,481,362,415,146,72
03電機群,82.01～83,0,470,0,0,0
03電機群,81.01～82,612,397,0,142,87
03電機群,80.01～81,0,417,0,0,0
03電機群,79.01～80,876,377,486,161,79
03電機群,78.01～79,0,404,0,0,0
03電機群,77.01～78,1168,399,0,131,76
03電機群,76.01～77,0,393,0,0,0
03電機群,75.01～76,1427,431,477,132,61
03電機群,74.01～75,0,342,0,0,0
03電機群,73.01～74,1766,498,0,142,73
03電機群,72.01～73,0,315,0,0,0
03電機群,71.01～72,2001,519,568,128,64
03電機群,70.01～71,0,336,0,0,0
03電機群,69.01～70,2267,524,0,138,60
03電機群,68.01～69,1,327,0,0,0
03電機群,67.01～68,2495,547,578,118,64
03電機群,66.01～67,1,318,0,0,0
03電機群,65.01～66,2714,550,0,131,71
03電機群,64.01～65,2,321,0,0,0
03電機群,63.01～64,2876,573,621,147,70
03電機群,62.01～63,0,298,0,0,0
03電機群,61.01～62,2822,597,0,138,61
03電機群,60.01～61,0,323,0,1,0
03電機群,59.01～60,2939,613,705,156,62
03電機群,58.01～59,0,328,0,0,0
03電機群,57.01～58,2938,620,0,152,82
03電機群,56.01～57,0,346,0,0,0
03電機群,55.01～56,2870,607,821,149,66
03電機群,54.01～55,0,393,0,0,0
03電機群,53.01～54,2849,655,1,148,71
03電機群,52.01～53,1,398,0,0,0
03電機群,51.01～52,2718,641,885,157,94
03電機群,50.01～51,0,442,0,0,0
03電機群,49.01～50,2616,713,0,131,58
03電機群,48.01～49,1,390,0,0,0
03電機群,47.01～48,2468,706,1025,162,112
03電機群,46.01～47,0,479,0,0,0
03電機群,45.01～46,2387,718,0,161,83
03電機群,44.01～45,0,499,0,0,0
03電機群,43.01～44,2154,682,1216,196,98
03電機群,42.01～43,0,521,0,0,0
03電機群,41.01～42,2052,730,0,208,111
03電機群,40.01～41,1,547,0,0,0
03電機群,39.01～40,1841,741,1547,245,153
03電機群,38.01～39,2,633,0,0,0
03電機群,37.01～38,1655,818,1,316,158
03電機群,36.01～37,2,583,0,0,0
03電機群,35.01～36,1610,950,1816,410,197
03電機群,34.01～35,0,714,0,0,0
03電機群,33.01～34,1419,1049,0,482,234
03電機群,32.01～33,1,721,0,0,0
03電機群,31.01～32,1230,1359,2142,585,322
03電機群,30.01～31,1,770,1,0,0
03電機群,29.01～30,1041,1607,0,722,360
03電機群,28.01～29,1,836,0,0,0
03電機群,27.01～28,907,2002,2705,773,411
03電機群,26.01～27,0,834,0,0,0
03電機群,25.01～26,841,2398,1,951,383
03電機群,24.01～25,1,901,0,0,0
03電機群,23.01～24,724,2765,2460,666,345
03電機群,22.01～23,0,957,1,0,1
03電機群,21.01～22,639,3440,2,546,324
03電機群,20.01～21,0,583,0,0,1
03電機群,19.01～20,751,3837,1405,412,208
03電機群,18.01～19,3,380,0,0,0
03電機群,17.01～18,601,2338,1,224,126
03電機群,16.01～17,0,256,0,0,0
03電機群,15.01～16,340,1551,773,122,60
03電機群,14.01～15,0,136,0,0,0
03電機群,13.01～14,232,1030,0,63,40
03電機群,12.01～13,0,72,0,0,0
03電機群,11.01～12,147,591,391,29,18
03電機群,10.01～11,1,25,0,0,0
03電機群,9.01～10,65,250,0,13,7
03電機群,8.01～9,0,10,0,0,0
03電機群,7.01～8,41,117,134,5,1
03電機群,6.01～7,0,2,0,0,0
03電機群,5.01～6,13,28,0,2,0
03電機群,4.01～5,0,0,0,0,0
03電機群,3.01～4,6,6,23,0,0
03電機群,2.01～3,0,0,0,0,0
03電機群,1.01～2,2,1,0,0,0
03電機群,0.01～1,0,0,0,0,0
03電機群,0.00,14,11,8,3,0
04電子群,99.01～100,1,60,84,27,0
04電子群,98.01～99,0,204,0,0,0
04電子群,97.01～98,0,98,0,68,0
04電子群,96.01～97,0,438,0,0,0
04電子群,95.01～96,6,142,189,121,2
04電子群,94.01～95,0,614,0,0,0
04電子群,93.01～94,17,211,0,123,9
04電子群,92.01～93,0,620,0,0,0
04電子群,91.01～92,49,256,337,135,4
04電子群,90.01～91,0,607,0,0,0
04電子群,89.01～90,67,276,0,140,10
04電子群,88.01～89,0,555,0,0,0
04電子群,87.01～88,158,297,419,144,25
04電子群,86.01～87,0,538,0,0,0
04電子群,85.01～86,267,314,0,157,29
04電子群,84.01～85,1,507,0,0,0
04電子群,83.01～84,481,362,415,146,23
04電子群,82.01～83,0,470,0,0,0
04電子群,81.01～82,612,397,0,142,35
04電子群,80.01～81,0,417,0,0,0
04電子群,79.01～80,876,377,486,161,37
04電子群,78.01～79,0,404,0,0,0
04電子群,77.01～78,1168,399,0,131,58
04電子群,76.01～77,0,393,0,0,0
04電子群,75.01～76,1427,431,477,132,56
04電子群,74.01～75,0,342,0,0,0
04電子群,73.01～74,1766,498,0,142,63
04電子群,72.01～73,0,315,0,0,0
04電子群,71.01～72,2001,519,568,128,74
04電子群,70.01～71,0,336,0,0,0
04電子群,69.01～70,2267,524,0,138,80
04電子群,68.01～69,1,327,0,0,0
04電子群,67.01～68,2495,547,578,118,99
04電子群,66.01～67,1,318,0,0,0
04電子群,65.01～66,2714,550,0,131,99
04電子群,64.01～65,2,321,0,0,0
04電子群,63.01～64,2876,573,621,147,112
04電子群,62.01～63,0,298,0,0,0
04電子群,61.01～62,2822,597,0,138,94
04電子群,60.01～61,0,323,0,1,0
04電子群,59.01～60,2939,613,705,156,95
04電子群,58.01～59,0,328,0,0,0
04電子群,57.01～58,2938,620,0,152,107
04電子群,56.01～57,0,346,0,0,0
04電子群,55.01～56,2870,607,821,149,126
04電子群,54.01～55,0,393,0,0,0
04電子群,53.01～54,2849,655,1,148,122
04電子群,52.01～53,1,398,0,0,0
04電子群,51.01～52,2718,641,885,157,132
04電子群,50.01～51,0,442,0,0,0
04電子群,49.01～50,2616,713,0,131,157
04電子群,48.01～49,1,390,0,0,0
04電子群,47.01～48,2468,706,1025,162,158
04電子群,46.01～47,0,479,0,0,0
04電子群,45.01～46,2387,718,0,161,168
04電子群,44.01～45,0,499,0,0,0
04電子群,43.01～44,2154,682,1216,196,214
04電子群,42.01～43,0,521,0,0,0
04電子群,41.01～42,2052,730,0,208,199
04電子群,40.01～41,1,547,0,0,0
04電子群,39.01～40,1841,741,1547,245,264
04電子群,38.01～39,2,633,0,0,0
04電子群,37.01～38,1655,818,1,316,312
04電子群,36.01～37,2,583,0,0,0
04電子群,35.01～36,1610,950,1816,410,349
04電子群,34.01～35,0,714,0,0,0
04電子群,33.01～34,1419,1049,0,482,402
04電子群,32.01～33,1,721,0,0,0
04電子群,31.01～32,1230,1359,2142,585,434
04電子群,30.01～31,1,770,1,0,0
04電子群,29.01～30,1041,1607,0,722,495
04電子群,28.01～29,1,836,0,0,0
04電子群,27.01～28,907,2002,2705,773,536
04電子群,26.01～27,0,834,0,0,0
04電子群,25.01～26,841,2398,1,951,467
04電子群,24.01～25,1,901,0,0,0
04電子群,23.01～24,724,2765,2460,666,300
04電子群,22.01～23,0,957,1,0,1
04電子群,21.01～22,639,3440,2,546,234
04電子群,20.01～21,0,583,0,0,0
04電子群,19.01～20,751,3837,1405,412,186
04電子群,18.01～19,3,380,0,0,0
04電子群,17.01～18,601,2338,1,224,89
04電子群,16.01～17,0,256,0,0,0
04電子群,15.01～16,340,1551,773,122,46
04電子群,14.01～15,0,136,0,0,0
04電子群,13.01～14,232,1030,0,63,21
04電子群,12.01～13,0,72,0,0,0
04電子群,11.01～12,147,591,391,29,9
04電子群,10.01～11,1,25,0,0,0
04電子群,9.01～10,65,250,0,13,2
04電子群,8.01～9,0,10,0,0,0
04電子群,7.01～8,41,117,134,5,2
04電子群,6.01～7,0,2,0,0,0
04電子群,5.01～6,13,28,0,2,0
04電子群,4.01～5,0,0,0,0,0
04電子群,3.01～4,6,6,23,0,0
04電子群,2.01～3,0,0,0,0,0
04電子群,1.01～2,2,1,0,0,0
04電子群,0.01～1,0,0,0,0,0
04電子群,0.00,14,11,8,3,0
05化工群,99.01～100,1,60,84,0,1
05化工群,98.01～99,0,204,0,0,0
05化工群,97.01～98,0,98,0,0,2
05化工群,96.01～97,0,438,0,0,0
05化工群,95.01～96,6,142,189,0,1
05化工群,94.01～95,0,614,0,0,0
05化工群,93.01～94,17,211,0,8,4
05化工群,92.01～93,0,620,0,0,0
05化工群,91.01～92,49,256,337,7,6
05化工群,90.01～91,0,607,0,0,0
05化工群,89.01～90,67,276,0,11,6
05化工群,88.01～89,0,555,0,0,0
05化工群,87.01～88,158,297,419,20,11
05化工群,86.01～87,0,538,0,0,0
05化工群,85.01～86,267,314,0,17,5
05化工群,84.01～85,1,507,0,0,0
05化工群,83.01～84,481,362,415,26,12
05化工群,82.01～83,0,470,0,0,0
05化工群,81.01～82,612,397,0,22,7
05化工群,80.01～81,0,417,0,0,0
05化工群,79.01～80,876,377,486,27,11
05化工群,78.01～79,0,404,0,0,0
05化工群,77.01～78,1168,399,0,29,16
05化工群,76.01～77,0,393,0,0,0
05化工群,75.01～76,1427,431,477,30,14
05化工群,74.01～75,0,342,0,0,0
05化工群,73.01～74,1766,498,0,37,18
05化工群,72.01～73,0,315,0,0,0
05化工群,71.01～72,2001,519,568,30,19
05化工群,70.01～71,0,336,0,0,0
05化工群,69.01～70,2267,524,0,41,14
05化工群,68.01～69,1,327,0,0,0
05化工群,67.01～68,2495,547,578,43,18
05化工群,66.01～67,1,318,0,0,0
05化工群,65.01～66,2714,550,0,42,30
05化工群,64.01～65,2,321,0,0,0
05化工群,63.01～64,2876,573,621,51,22
05化工群,62.01～63,0,298,0,0,0
05化工群,61.01～62,2822,597,0,51,31
05化工群,60.01～61,0,323,0,0,0
05化工群,59.01～60,2939,613,705,40,33
05化工群,58.01～59,0,328,0,0,0
05化工群,57.01～58,2938,620,0,45,28
05化工群,56.01～57,0,346,0,0,0
05化工群,55.01～56,2870,607,821,44,33
05化工群,54.01～55,0,393,0,0,0
05化工群,53.01～54,2849,655,1,45,28
05化工群,52.01～53,1,398,0,0,0
05化工群,51.01～52,2718,641,885,46,25
05化工群,50.01～51,0,442,0,0,0
05化工群,49.01～50,2616,713,0,45,51
05化工群,48.01～49,1,390,0,0,0
05化工群,47.01～48,2468,706,1025,46,53
05化工群,46.01～47,0,479,0,0,0
05化工群,45.01～46,2387,718,0,51,33
05化工群,44.01～45,0,499,0,0,0
05化工群,43.01～44,2154,682,1216,49,54
05化工群,42.01～43,0,521,0,0,0
05化工群,41.01～42,2052,730,0,47,70
05化工群,40.01～41,1,547,0,0,0
05化工群,39.01～40,1841,741,1547,56,56
05化工群,38.01～39,2,633,0,0,0
05化工群,37.01～38,1655,818,1,44,62
05化工群,36.01～37,2,583,0,0,0
05化工群,35.01～36,1610,950,1816,40,71
05化工群,34.01～35,0,714,0,0,0
05化工群,33.01～34,1419,1049,0,41,82
05化工群,32.01～33,1,721,0,0,0
05化工群,31.01～32,1230,1359,2142,46,57
05化工群,30.01～31,1,770,1,0,0
05化工群,29.01～30,1041,1607,0,33,73
05化工群,28.01～29,1,836,0,0,0
05化工群,27.01～28,907,2002,2705,29,64
05化工群,26.01～27,0,834,0,0,0
05化工群,25.01～26,841,2398,1,18,57
05化工群,24.01～25,1,901,0,0,0
05化工群,23.01～24,724,2765,2460,14,37
05化工群,22.01～23,0,957,1,0,0
05化工群,21.01～22,639,3440,2,6,34
05化工群,20.01～21,0,583,0,0,0
05化工群,19.01～20,751,3837,1405,6,15
05化工群,18.01～19,3,380,0,0,0
05化工群,17.01～18,601,2338,1,1,9
05化工群,16.01～17,0,256,0,0,0
05化工群,15.01～16,340,1551,773,1,8
05化工群,14.01～15,0,136,0,0,0
05化工群,13.01～14,232,1030,0,2,3
05化工群,12.01～13,0,72,0,0,0
05化工群,11.01～12,147,591,391,0,2
05化工群,10.01～11,1,25,0,0,0
05化工群,9.01～10,65,250,0,0,0
05化工群,8.01～9,0,10,0,0,0
05化工群,7.01～8,41,117,134,0,0
05化工群,6.01～7,0,2,0,0,0
05化工群,5.01～6,13,28,0,0,0
05化工群,4.01～5,0,0,0,0,0
05化工群,3.01～4,6,6,23,0,0
05化工群,2.01～3,0,0,0,0,0
05化工群,1.01～2,2,1,0,0,0
05化工群,0.01～1,0,0,0,0,0
05化工群,0.00,14,11,8,0,0
06土木與建築群,99.01～100,1,60,84,0,0
06土木與建築群,98.01～99,0,204,0,0,0
06土木與建築群,97.01～98,0,98,0,2,0
06土木與建築群,96.01～97,0,438,0,0,0
06土木與建築群,95.01～96,6,142,189,0,0
06土木與建築群,94.01～95,0,614,0,4,0
06土木與建築群,93.01～94,17,211,0,0,0
06土木與建築群,92.01～93,0,620,0,6,1
06土木與建築群,91.01～92,49,256,337,0,0
06土木與建築群,90.01～91,0,607,0,0,0
06土木與建築群,89.01～90,67,276,0,7,4
06土木與建築群,88.01～89,0,555,0,0,0
06土木與建築群,87.01～88,158,297,419,13,2
06土木與建築群,86.01～87,0,538,0,0,0
06土木與建築群,85.01～86,267,314,0,0,0
06土木與建築群,84.01～85,1,507,0,24,13
06土木與建築群,83.01～84,481,362,415,0,0
06土木與建築群,82.01～83,0,470,0,18,7
06土木與建築群,81.01～82,612,397,0,0,0
06土木與建築群,80.01～81,0,417,0,0,0
06土木與建築群,79.01～80,876,377,486,16,15
06土木與建築群,78.01～79,0,404,0,0,0
06土木與建築群,77.01～78,1168,399,0,15,26
06土木與建築群,76.01～77,0,393,0,0,0
06土木與建築群,75.01～76,1427,431,477,0,0
06土木與建築群,74.01～75,0,342,0,19,18
06土木與建築群,73.01～74,1766,498,0,0,0
06土木與建築群,72.01～73,0,315,0,20,26
06土木與建築群,71.01～72,2001,519,568,0,0
06土木與建築群,70.01～71,0,336,0,0,0
06土木與建築群,69.01～70,2267,524,0,29,28
06土木與建築群,68.01～69,1,327,0,0,0
06土木與建築群,67.01～68,2495,547,578,21,26
06土木與建築群,66.01～67,1,318,0,0,0
06土木與建築群,65.01～66,2714,550,0,0,0
06土木與建築群,64.01～65,2,321,0,45,48
06土木與建築群,63.01～64,2876,573,621,0,0
06土木與建築群,62.01～63,0,298,0,24,53
06土木與建築群,61.01～62,2822,597,0,0,0
06土木與建築群,60.01～61,0,323,0,0,0
06土木與建築群,59.01～60,2939,613,705,57,48
06土木與建築群,58.01～59,0,328,0,0,0
06土木與建築群,57.01～58,2938,620,0,40,54
06土木與建築群,56.01～57,0,346,0,0,0
06土木與建築群,55.01～56,2870,607,821,0,0
06土木與建築群,54.01～55,0,393,0,58,63
06土木與建築群,53.01～54,2849,655,1,0,0
06土木與建築群,52.01～53,1,398,0,66,54
06土木與建築群,51.01～52,2718,641,885,0,0
06土木與建築群,50.01～51,0,442,0,0,0
06土木與建築群,49.01～50,2616,713,0,72,68
06土木與建築群,48.01～49,1,390,0,0,0
06土木與建築群,47.01～48,2468,706,1025,76,78
06土木與建築群,46.01～47,0,479,0,0,0
06土木與建築群,45.01～46,2387,718,0,0,0
06土木與建築群,44.01～45,0,499,0,84,76
06土木與建築群,43.01～44,2154,682,1216,0,0
06土木與建築群,42.01～43,0,521,0,104,95
06土木與建築群,41.01～42,2052,730,0,0,0
06土木與建築群,40.01～41,1,547,0,0,0
06土木與建築群,39.01～40,1841,741,1547,115,99
06土木與建築群,38.01～39,2,633,0,0,0
06土木與建築群,37.01～38,1655,818,1,118,120
06土木與建築群,36.01～37,2,583,0,0,0
06土木與建築群,35.01～36,1610,950,1816,0,0
06土木與建築群,34.01～35,0,714,0,117,105
06土木與建築群,33.01～34,1419,1049,0,0,0
06土木與建築群,32.01～33,1,721,0,96,98
06土木與建築群,31.01～32,1230,1359,2142,0,0
06土木與建築群,30.01～31,1,770,1,0,1
06土木與建築群,29.01～30,1041,1607,0,104,110
06土木與建築群,28.01～29,1,836,0,0,0
06土木與建築群,27.01～28,907,2002,2705,76,117
06土木與建築群,26.01～27,0,834,0,0,0
06土木與建築群,25.01～26,841,2398,1,0,1
06土木與建築群,24.01～25,1,901,0,83,63
06土木與建築群,23.01～24,724,2765,2460,0,0
06土木與建築群,22.01～23,0,957,1,49,46
06土木與建築群,21.01～22,639,3440,2,0,0
06土木與建築群,20.01～21,0,583,0,0,0
06土木與建築群,19.01～20,751,3837,1405,25,38
06土木與建築群,18.01～19,3,380,0,0,0
06土木與建築群,17.01～18,601,2338,1,15,16
06土木與建築群,16.01～17,0,256,0,0,0
06土木與建築群,15.01～16,340,1551,773,0,0
06土木與建築群,14.01～15,0,136,0,7,5
06土木與建築群,13.01～14,232,1030,0,0,0
06土木與建築群,12.01～13,0,72,0,5,3
06土木與建築群,11.01～12,147,591,391,0,0
06土木與建築群,10.01～11,1,25,0,0,0
06土木與建築群,9.01～10,65,250,0,1,2
06土木與建築群,8.01～9,0,10,0,0,0
06土木與建築群,7.01～8,41,117,134,0,0
06土木與建築群,6.01～7,0,2,0,0,0
06土木與建築群,5.01～6,13,28,0,0,0
06土木與建築群,4.01～5,0,0,0,0,0
06土木與建築群,3.01～4,6,6,23,0,0
06土木與建築群,2.01～3,0,0,0,0,0
06土木與建築群,1.01～2,2,1,0,0,0
06土木與建築群,0.01～1,0,0,0,0,0
06土木與建築群,0.00,14,11,8,1,1
07設計群,99.01～100,1,60,53,0,1
07設計群,98.01～99,0,204,0,0,1
07設計群,97.01～98,0,98,0,0,0
07設計群,96.01～97,0,438,0,0,2
07設計群,95.01～96,6,142,138,4,3
07設計群,94.01～95,0,614,0,0,4
07設計群,93.01～94,17,211,0,14,1
07設計群,92.01～93,0,620,0,0,4
07設計群,91.01～92,49,256,182,13,3
07設計群,90.01～91,0,607,0,0,7
07設計群,89.01～90,67,276,0,30,9
07設計群,88.01～89,0,555,0,0,9
07設計群,87.01～88,158,297,262,87,14
07設計群,86.01～87,0,538,0,0,9
07設計群,85.01～86,267,314,0,130,20
07設計群,84.01～85,1,507,0,0,16
07設計群,83.01～84,481,362,365,162,20
07設計群,82.01～83,0,470,0,0,26
07設計群,81.01～82,612,397,0,186,25
07設計群,80.01～81,0,417,0,0,35
